Name,Vector1,Vector2,Row,Column,F,Well,Compound,Concentration
r05c12f09p01-sk1fk1fl1.tiff,-0.13849112,-0.07982131,E,12,09,E12,Nocodazole,50
r05c13f01p01-sk1fk1fl1.tiff,-1.3754758,-2.9700983,E,13,01,E13,Nocodazole,25
r05c13f02p01-sk1fk1fl1.tiff,-0.8028534,-2.1726446,E,13,02,E13,Nocodazole,25
r05c13f03p01-sk1fk1fl1.tiff,-2.334829,-3.5779197,E,13,03,E13,Nocodazole,25
r05c13f04p01-sk1fk1fl1.tiff,-1.0732831,-3.4789453,E,13,04,E13,Nocodazole,25
r05c13f05p01-sk1fk1fl1.tiff,-0.92425776,-3.5750587,E,13,05,E13,Nocodazole,25
r05c13f06p01-sk1fk1fl1.tiff,-0.22840336,-1.1251985,E,13,06,E13,Nocodazole,25
r05c13f07p01-sk1fk1fl1.tiff,-0.86762756,-2.6281023,E,13,07,E13,Nocodazole,25
r05c13f08p01-sk1fk1fl1.tiff,-2.511857,-2.957667,E,13,08,E13,Nocodazole,25
r05c13f09p01-sk1fk1fl1.tiff,0.16065685,-2.7764676,E,13,09,E13,Nocodazole,25
r05c23f01p01-sk1fk1fl1.tiff,-1.8484453,-2.564322,E,23,01,E23,DMSO,
r05c23f02p01-sk1fk1fl1.tiff,-2.373671,-4.3126426,E,23,02,E23,DMSO,
r05c23f03p01-sk1fk1fl1.tiff,-3.4635997,-2.3998332,E,23,03,E23,DMSO,
r05c23f04p01-sk1fk1fl1.tiff,-2.6313672,-3.7311244,E,23,04,E23,DMSO,
r05c23f05p01-sk1fk1fl1.tiff,-1.8245004,-2.1897943,E,23,05,E23,DMSO,
r05c23f06p01-sk1fk1fl1.tiff,-1.1498078,-3.2680068,E,23,06,E23,DMSO,
r05c23f07p01-sk1fk1fl1.tiff,-1.6708963,-1.8264493,E,23,07,E23,DMSO,
